,timestamp,username,1_attractive_title,1_attractive_style,1_attractive_theme,2_originality_title,2_originality_style,2_originality_theme,3_relevance,4_creativity_title,4_creativity_synopsis,4_creativity_comment,5_authorship_title,5_authorship_synopsis,5_authorship_comment,6_anthology,6_readers_opinion,6_critics_opinion,6_own_voice,6_comment,title,title_id,synopsis_writer,title_writer,experiment
0,2024/04/01 7:36:15 PM GMT+2,Expert1,2,2,1,2,2,1,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",2,1,,Un escritor consagrado.,Un escritor consagrado.,,1,2,2,1,,After all I almost did for you,Después de todo lo que casi hice por ti,gpt4_en,patricio,ENGLISH
1,2024/04/02 1:11:38 PM GMT+2,Expert2,1,0,0,2,0,0,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",1,0,,Un escritor consagrado.,Una inteligencia artificial.,,0,2,3,0,,After all I almost did for you,Después de todo lo que casi hice por ti,gpt4_en,patricio,ENGLISH
2,2024/04/03 10:42:21 AM GMT+2,Expert3,2,0,0,2,0,0,La relación entre el título y la sinopsis es casi irrelevante.,2,0,,Un escritor consagrado.,Una inteligencia artificial.,,1,2,2,1,,After all I almost did for you,Después de todo lo que casi hice por ti,gpt4_en,patricio,ENGLISH
3,2024/03/31 2:39:24 PM GMT+2,Expert3,2,0,1,2,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor consagrado.,Una inteligencia artificial.,,1,2,2,1,,All love songs are sad songs,Todas las canciones de amor son canciones tristes,gpt4_en,patricio,ENGLISH
4,2024/04/02 2:12:51 PM GMT+2,Expert2,1,0,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,This is all becoming very repetitive.,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,3,0,,All love songs are sad songs,Todas las canciones de amor son canciones tristes,gpt4_en,patricio,ENGLISH
5,2024/04/02 6:11:20 PM GMT+2,Expert1,2,2,1,1,2,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Una inteligencia artificial.,Un escritor novel.,,1,2,2,1,,All love songs are sad songs,Todas las canciones de amor son canciones tristes,gpt4_en,patricio,ENGLISH
6,2024/04/01 12:55:03 PM GMT+2,Expert3,0,0,0,0,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,0,,Among clouds and mirages,Entre nubes y espejismos,gpt4_en,machine,ENGLISH
7,2024/04/01 2:15:34 PM GMT+2,Expert1,2,1,1,2,0,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,2,,Among clouds and mirages,Entre nubes y espejismos,gpt4_en,machine,ENGLISH
8,2024/04/02 10:55:39 AM GMT+2,Expert2,2,1,1,2,1,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor novel.,Un escritor novel.,,1,2,2,2,,Among clouds and mirages,Entre nubes y espejismos,gpt4_en,machine,ENGLISH
9,2024/04/01 11:23:10 AM GMT+2,Expert2,1,0,0,2,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,0,,Un escritor novel.,Un escritor novel.,,0,2,2,1,,Another episode in the Class Struggle,Otro episodio en la lucha de clases,gpt4_en,patricio,ENGLISH
10,2024/04/01 1:18:28 PM GMT+2,Expert1,0,1,1,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",1,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,2,,Another episode in the Class Struggle,Otro episodio en la lucha de clases,gpt4_en,patricio,ENGLISH
11,2024/04/02 1:20:23 AM GMT+2,Expert3,1,0,0,1,0,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,1,,Una inteligencia artificial.,Una inteligencia artificial.,,1,2,2,1,,Another episode in the Class Struggle,Otro episodio en la lucha de clases,gpt4_en,patricio,ENGLISH
12,2024/03/29 1:28:39 AM GMT+2,Expert2,2,0,1,1,0,1,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",0,0,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,0,,Between the lines of fate,Entre las líneas del destino,gpt4_en,machine,ENGLISH
13,2024/04/02 4:24:25 PM GMT+2,Expert3,0,0,0,0,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,1,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,2,0,,Between the lines of fate,Entre las líneas del destino,gpt4_en,machine,ENGLISH
14,2024/04/02 6:18:05 PM GMT+2,Expert1,2,1,1,2,1,0,"Hay mucha relación entre el título y la sinopsis y, de hecho, el desarrollo del texto es predecible a partir del título.",2,1,,Un escritor novel.,Una inteligencia artificial.,,1,2,2,1,,Between the lines of fate,Entre las líneas del destino,gpt4_en,machine,ENGLISH
15,2024/03/27 12:11:14 AM GMT+2,Expert2,1,0,1,2,1,2,"Hay cierta relación entre el título y la sinopsis, aunque no evidente.",2,0,,Un escritor novel.,Una inteligencia artificial.,,0,2,2,1,,Beyond the broken horizon,Más allá del horizonte roto,gpt4_en,machine,ENGLISH
16,2024/04/01 1:31:44 PM GMT+2,Expert3,0,0,0,1,0,0,La relación entre el título y la sinopsis es casi irrelevante.,0,0,,Una inteligencia artificial.,Una inteligencia artificial.,,0,2,3,0,,Beyond the broken horizon,Más allá del horizonte roto,gpt4_en,machine,ENGLISH
